,id,name,league,rank,rank_percentage
142,bonnede01w,DeWanna Bonner,wnba,16.875,11.250325959398253
143,stepade01,Derek Stepan,nhl,100.42857142857143,11.289415204094727
144,horfoal01,Al Horford,nba,53.3,11.350835484131546
145,455,Larry Walker,mlb,124.05882352941177,11.352700192749111
146,mariosh01,Shawn Marion,nba,52.9375,11.451606215310683
147,hamildo01,Dougie Hamilton,nhl,100.6,11.496724901058432
148,noahjo01,Joakim Noah,nba,53.7,11.517491625373797
149,mcwilta01w,Taj McWilliams-Franklin,wnba,20.285714285714285,11.525057239532453
150,4314,Joey Votto,mlb,149.36363636363637,11.575024050966825
151,12861,Anthony Rendon,mlb,154.8,11.663603676677955
152,fowlesy01w,Sylvia Fowles,wnba,19.8,11.730975094815612
153,801,Javier Vazquez,mlb,144.85714285714286,11.757613494913356
154,sedinda01,Daniel Sedin,nhl,103.9375,11.779132332708967
155,lindrer01,Eric Lindros,nhl,102.0,11.799881646147897
156,hallta02,Taylor Hall,nhl,104.71428571428571,11.801563192491743
157,hossama01,Marian Hossa,nhl,97.84210526315789,11.856858138452203
158,thornjo01,Joe Thornton,nhl,96.89473684210526,11.859052389290355
159,200,Pedro Martinez,mlb,141.0,11.890277436285047
160,3269,Robinson Cano,mlb,152.23076923076923,11.935407411629875
161,sabonar01,Arvydas Sabonis,nba,52.285714285714285,11.965243662169245
162,gonchse01,Sergei Gonchar,nhl,102.35,12.037067067665825
163,divacvl01,Vlade Divac,nba,51.3125,12.044861273547705
164,reddewa01,Wade Redden,nhl,102.5,12.075308266663692
165,butleji01,Jimmy Butler,nba,57.666666666666664,12.082084798464416
166,walkeke02,Kemba Walker,nba,58.0,12.09403473227749
167,thomais02,Isaiah Thomas,nba,57.833333333333336,12.10386294921179
168,turgepi01,Pierre Turgeon,nhl,98.52631578947368,12.13120404017504
169,14225,Yasiel Puig,mlb,163.6,12.138232363272664
170,kesseph01,Phil Kessel,nhl,106.27272727272727,12.234726153343432
171,griffyo01w,Yolanda Griffith,wnba,21.454545454545453,12.31692895684259
172,mogilal01,Alexander Mogilny,nhl,99.5,12.3629415671191
173,marlepa01,Patrick Marleau,nhl,105.63157894736842,12.366490221463739
174,desjaer01,Eric Desjardins,nhl,96.6470588235294,12.382978767572084
175,nowitdi01,Dirk Nowitzki,nba,56.8421052631579,12.386309199914846
176,hawkihe01,Hersey Hawkins,nba,51.46153846153846,12.398123933215377
177,nealja01,James Neal,nhl,109.77777777777777,12.415580758756144
178,eberljo01,Jordan Eberle,nhl,110.28571428571429,12.474073672520039
179,115,John Smoltz,mlb,139.33333333333334,12.52668111832147
180,subbapk01,P.K. Subban,nhl,111.0,12.574579184798367
181,1857,Joe Mauer,mlb,165.21428571428572,12.58520532805595
182,1679,Chase Utley,mlb,164.06666666666666,12.60658773439061
183,shanabr01,Brendan Shanahan,nhl,96.76190476190476,12.627503134573889
184,youngso01w,Sophia Young,wnba,19.77777777777778,12.666043828640419
185,kariypa01,Paul Kariya,nhl,109.26666666666667,12.694923165493588
186,1119,Jeff Kent,mlb,149.1764705882353,12.70115545629885
187,fedorse01,Sergei Fedorov,nhl,105.27777777777777,12.711239537187609
188,9927,Brett Gardner,mlb,165.9,12.757565468476002
189,6893,Johnny Cueto,mlb,166.3,12.765386964250101
190,salesny01w,Nykesha Sales,wnba,23.444444444444443,12.781169154756151
191,1177,Albert Pujols,mlb,171.11764705882354,12.785684481941448
192,paytoga01,Gary Payton,nba,56.76470588235294,12.872684018499783
193,prongch01,Chris Pronger,nhl,109.61111111111111,12.881381620318779
194,cartevi01,Vince Carter,nba,60.68421052631579,12.98162710493823
195,burepa01,Pavel Bure,nhl,103.41666666666667,12.98311839957732
196,1873,Matt Holliday,mlb,172.14285714285714,13.033121525033494
